run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_18:11:49,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,baseline,0.0,0.0,0.0,0.0,0.029,0.057,484.9,4.9,767.6,0.04416,0.1262
2026-07-16_18:11:49,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,4.4,1045.6,0.046248,0.1321
2026-07-16_18:11:49,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+multimodal,0.229,0.229,0.229,0.143,0.114,0.857,760.5,30.3,1315.8,0.077133,0.2204
2026-07-16_18:11:49,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+both,0.229,0.229,0.229,0.143,0.057,0.829,790.4,31.5,1575.1,0.0802,0.2291
