run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-15_23:23:36,questions_publaynet_multihop,multihop,gpt4o-mini,OpenAI,closed,30,baseline,0.9,0.883,0.433,0.5,0.633,484.4,31.7,905.0,0.00275,0.0092
2026-07-15_23:23:36,questions_publaynet_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+KG,0.9,0.883,0.4,0.5,0.633,536.7,29.5,969.7,0.002946,0.0098
2026-07-15_23:23:36,questions_publaynet_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+multimodal,0.9,0.883,0.5,0.467,0.8,9179.3,39.5,1376.1,0.042018,0.1401
2026-07-15_23:23:36,questions_publaynet_multihop,multihop,gpt4o-mini,OpenAI,closed,30,+both,0.9,0.883,0.5,0.467,0.8,9235.6,43.6,1396.7,0.042345,0.1411
