run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_06:40:38,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,baseline,0.0,0.0,0.0,0.0,0.0,0.0,484.9,4.0,635.4,0.00263,0.0075
2026-07-16_06:40:38,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,4.0,664.2,0.002766,0.0079
2026-07-16_06:40:38,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+multimodal,0.229,0.229,0.229,0.086,0.057,0.286,9476.7,13.3,1426.9,0.050033,0.143
2026-07-16_06:40:38,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+both,0.229,0.229,0.229,0.114,0.029,0.286,9506.6,14.8,1374.4,0.05022,0.1435
