run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_15:43:16,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,baseline,0.0,0.0,0.0,0.0,0.0,0.029,484.9,4.4,884.8,0.04398,0.1257
2026-07-16_15:43:16,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,5.8,859.7,0.046738,0.1335
2026-07-16_15:43:16,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+multimodal,0.229,0.229,0.229,0.143,0.114,0.829,760.5,32.1,1558.4,0.077783,0.2222
2026-07-16_15:43:16,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+both,0.229,0.229,0.229,0.143,0.086,0.829,790.4,35.3,1511.3,0.0815,0.2329
