run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_20:52:14,questions_publaynet_text,text,gemini-flash-lite,Google,closed,35,baseline,0.914,0.914,0.886,0.514,0.6,0.771,484.2,24.5,499.9,0.002038,0.0058
2026-07-16_20:52:14,questions_publaynet_text,text,gemini-flash-lite,Google,closed,35,+KG,0.914,0.914,0.886,0.6,0.543,0.771,526.8,24.1,512.0,0.002181,0.0062
2026-07-16_20:52:14,questions_publaynet_text,text,gemini-flash-lite,Google,closed,35,+multimodal,0.914,0.914,0.886,0.571,0.6,0.8,684.9,28.0,500.8,0.002789,0.008
2026-07-16_20:52:14,questions_publaynet_text,text,gemini-flash-lite,Google,closed,35,+both,0.914,0.914,0.886,0.6,0.571,0.8,731.5,29.1,531.6,0.002968,0.0085
