run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_16:22:56,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,baseline,0.0,0.0,0.0,0.2,0.429,0.429,449.6,30.9,1204.6,0.003009,0.0086
2026-07-16_16:22:56,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+KG,0.0,0.0,0.0,0.114,0.314,0.343,478.3,22.7,1012.3,0.002988,0.0085
2026-07-16_16:22:56,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+multimodal,0.143,0.143,0.143,0.286,0.4,0.571,514.9,36.0,1577.8,0.00346,0.0099
2026-07-16_16:22:56,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+both,0.143,0.143,0.143,0.257,0.343,0.571,547.6,35.4,1232.1,0.003618,0.0103
