run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_16:04:21,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,baseline,0.0,0.0,0.0,0.114,0.4,0.429,449.6,24.9,1255.3,0.048043,0.1373
2026-07-16_16:04:21,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+KG,0.0,0.0,0.0,0.171,0.4,0.457,478.3,26.5,1159.3,0.05114,0.1461
2026-07-16_16:04:21,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+multimodal,0.143,0.143,0.143,0.343,0.371,0.857,734.9,64.3,2026.4,0.086825,0.2481
2026-07-16_16:04:21,questions_publaynet_figures,figure,gpt4o,OpenAI,diagnostic,35,+both,0.143,0.143,0.143,0.343,0.286,0.829,767.6,81.1,1859.2,0.095533,0.273
