run_id,question_set,question_type,model,vendor,access,n_questions,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,mean_out_tok,mean_latency_ms,total_cost_usd,cost_per_100q_usd
2026-07-16_17:55:36,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,baseline,0.0,0.0,0.0,0.0,0.0,0.0,484.9,4.0,1235.9,0.00263,0.0075
2026-07-16_17:55:36,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,4.0,838.7,0.002766,0.0079
2026-07-16_17:55:36,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+multimodal,0.229,0.229,0.229,0.114,0.057,0.229,9476.7,12.6,1720.2,0.050017,0.1429
2026-07-16_17:55:36,questions_publaynet_figures,figure,gpt4o-mini,OpenAI,closed,35,+both,0.229,0.229,0.229,0.114,0.057,0.257,9506.6,16.8,1416.6,0.050262,0.1436
